outcome,rows_treated,rows_control,mean_treated,mean_control,absolute_effect,standard_error,confidence_low,confidence_high,z_statistic,p_value,relative_lift,relative_low,relative_high,log_ratio_standard_error,successes_treated,successes_control
visit,11882655,2096937,0.048543360048743316,0.03820095691954503,0.010342403129198284,0.00014631642098864926,0.010055628213713731,0.010629178044682837,70.68518392751429,0.0,0.27073675539019604,0.26156617437512963,0.2799739992231647,0.0036954301489100236,576824.0,80105.0
conversion,11882655,2096937,0.0030894610674129645,0.0019375880152813366,0.0011518730521316279,3.437168357507502e-05,0.0010845057902364738,0.001219240314026782,33.51226743420042,3.194105972880377e-246,0.5944881177252619,0.5436975782271105,0.6469497610321502,0.016516727992766368,36711.0,4063.0
