segment,value_per_impression,capacity_impressions,even_impressions,greedy_impressions,even_incremental_conversions,greedy_incremental_conversions,rows_treated,rows_control,compliance_rate,itt,itt_standard_error,cace
bin 1,0.03910213825076294,8593.0,8593.0,0.0,336.00467398880596,0.0,58083,526531,0.14794346022071864,0.005784905634846788,0.0003228452495052589,0.03910213825076294
bin 2,0.012773245684763098,11887.0,11887.0,0.0,151.83557145477894,0.0,4512597,490590,0.0026341816031876988,3.3647048795799613e-05,1.0207366522040436e-05,0.012773245684763098
bin 3,-0.0002633402697983563,4806.0,4806.0,0.0,-1.2656133366509001,-0.0,1022961,8038,0.004698126321531319,-1.2372058530588168e-06,0.0001248842674408789,-0.0002633402697983563
bin 4,0.007021772045314356,9829.0,9829.0,0.0,69.0169974333948,0.0,1364182,276630,0.007205050352518946,5.059222115039988e-05,2.699147258723475e-05,0.007021772045314356
bin 5,0.0023046235908515825,51975.0,17984.5,0.0,41.44750296967029,0.0,1333952,139602,0.038963171088614884,8.979544326520819e-05,4.270855567431304e-05,0.0023046235908515825
bin 6,0.007364828035211381,51371.0,17984.5,0.0,132.4527497992591,0.0,1183403,267103,0.04340955701481237,0.000319703922498797,4.827556725071599e-05,0.007364828035211381
bin 7,0.009787107401174729,85716.0,17984.5,0.0,176.0162330564269,0.0,1199545,198410,0.07145709414819786,0.0006993582550042666,9.157566150635934e-05,0.009787107401174729
bin 8,0.04898150005141072,204035.0,17984.5,107053.0,880.9077876745961,5243.616525003672,1207932,190033,0.16891265402357086,0.008273595171739458,0.00033867455794236957,0.04898150005141072
